L D R N CK
256 14 256 3571 8.025586
768 14 768 10739 8.307682
2048 14 2048 28659 8.707568
3072 14 3072 42995 8.685075
8192 14 8192 114675 9.334503
16384 14 16384 229363 11.224543
32768 14 32768 458739 17.160887
256 15 256 3826 8.076172
768 15 768 11506 8.232617
2048 15 2048 30706 8.652759
3072 15 3072 46066 8.980127
8192 15 8192 122866 10.174750
16384 15 16384 245746 11.682489
32768 15 32768 491506 18.659798
256 16 256 4081 8.153125
768 16 768 12273 8.359440
2048 16 2048 32753 9.048364
3072 16 3072 49137 9.740316
8192 16 8192 131057 10.730023
16384 16 16384 262129 12.862113
32768 16 32768 524273 24.270647
256 17 256 4336 8.105664
768 17 768 13040 8.542318
2048 17 2048 34800 9.205151
3072 17 3072 52208 9.688444
8192 17 8192 139248 10.940204
16384 17 16384 278512 12.676837
32768 17 32768 557040 25.234976
256 18 256 4591 8.074609
768 18 768 13807 8.509830
2048 18 2048 36847 9.300000
3072 18 3072 55279 9.978760
8192 18 8192 147439 11.503742
16384 18 16384 294895 12.805194
32768 18 32768 589807 24.477205
