L D R N CK
256 10 256 2551 8.357617
768 10 768 7671 8.171680
2048 10 2048 20471 8.426856
3072 10 3072 30711 8.424675
8192 10 8192 81911 8.845923
16384 10 16384 163831 11.419760
32768 10 32768 327671 10.955301
256 30 256 7651 8.151758
768 30 768 23011 8.910612
2048 30 2048 61411 10.375024
3072 30 3072 92131 14.102344
8192 30 8192 245731 14.778814
16384 30 16384 491491 15.222831
32768 30 32768 983011 21.796614
256 50 256 12751 8.161718
768 50 768 38351 8.831185
2048 50 2048 102351 10.689868
3072 50 3072 153551 11.878988
8192 50 8192 409551 14.546423
16384 50 16384 819151 16.751319
32768 50 32768 1638351 22.552321
256 70 256 17851 8.242383
768 70 768 53691 9.090560
2048 70 2048 143291 11.180494
3072 70 3072 214971 15.440642
8192 70 8192 573371 17.420264
16384 70 16384 1146811 20.560666
32768 70 32768 2293691 26.234491
256 90 256 22951 8.309570
768 90 768 69031 11.018230
2048 90 2048 184231 13.112427
3072 90 3072 276391 13.459326
8192 90 8192 737191 17.663117
16384 90 16384 1474471 22.085425
32768 90 32768 2949031 25.319580
