L D R N CK
256 5 409 2041 7.862837
768 5 1229 6141 8.020098
2048 5 3277 16381 7.922994
3072 5 4915 24571 7.959268
8192 5 13107 65531 8.817361
16384 5 26214 131066 9.821734
32768 5 52429 262141 8.945208
256 7 293 2045 8.779011
768 7 878 6140 8.485991
2048 7 2341 16381 8.044276
3072 7 3511 24571 8.335702
8192 7 9363 65535 8.875168
16384 7 18725 131069 9.303517
32768 7 37449 262137 9.329129
256 8 256 2041 7.954883
768 8 768 6137 8.133138
2048 8 2048 16377 9.663770
3072 8 3072 24569 8.703857
8192 8 8192 65529 10.057892
16384 8 16384 131065 9.517795
32768 8 32768 262137 9.838575
256 9 256 2296 7.980859
768 9 768 6904 10.547787
2048 9 2048 18424 9.155908
3072 9 3072 27640 9.072250
8192 9 8192 73720 9.593579
16384 9 16384 147448 9.583594
32768 9 32768 294904 13.134659
256 13 256 3316 8.056055
768 13 768 9972 10.109831
2048 13 2048 26612 8.988135
3072 13 3072 39924 8.742757
8192 13 8192 106484 12.475653
16384 13 16384 212980 13.198584
32768 13 32768 425972 20.346999
