L D R N CK
256 1 2041 2041 7.722881
768 1 6137 6137 7.794289
2048 1 16377 16377 7.715409
3072 1 24569 24569 7.791931
8192 1 65529 65529 7.944681
16384 1 131065 131065 7.887179
32768 1 262137 262137 8.774986
256 5 409 2041 7.871027
768 5 1229 6141 7.860578
2048 5 3277 16381 7.871712
3072 5 4915 24571 7.979004
8192 5 13107 65531 8.387731
16384 5 26214 131066 8.977037
32768 5 52429 262141 9.881945
256 10 256 2551 7.967187
768 10 768 7671 10.531966
2048 10 2048 20471 8.439600
3072 10 3072 30711 9.589534
8192 10 8192 81911 10.413775
16384 10 16384 163831 9.671826
32768 10 32768 327671 11.080887
256 50 256 12751 8.310156
768 50 768 38351 8.953711
2048 50 2048 102351 10.943579
3072 50 3072 153551 12.092969
8192 50 8192 409551 16.146985
16384 50 16384 819151 18.082800
32768 50 32768 1638351 21.577177
256 99 256 25246 8.502930
768 99 768 75934 10.604427
2048 99 2048 202654 15.041187
3072 99 3072 304030 14.035823
8192 99 8192 810910 18.536322
16384 99 16384 1621918 25.500977
32768 99 32768 3243934 25.506230
