L D R N CK
256 1 2041 2041 7.729741
768 1 6137 6137 7.824075
2048 1 16377 16377 8.397094
3072 1 24569 24569 9.266767
8192 1 65529 65529 11.693299
16384 1 131065 131065 11.903869
32768 1 262137 262137 14.209158
256 6 341 2041 7.886217
768 6 1024 6139 8.030323
2048 6 2731 16381 8.732241
3072 6 4096 24571 9.493775
8192 6 10923 65533 11.443568
16384 6 21845 131065 12.989485
32768 6 43691 262141 16.440268
256 8 256 2041 7.974414
768 8 768 6137 8.120052
2048 8 2048 16377 8.862744
3072 8 3072 24569 9.668734
8192 8 8192 65529 11.460003
16384 8 16384 131065 12.015643
32768 8 32768 262137 16.308256
256 15 256 3826 8.127344
768 15 768 11506 8.335547
2048 15 2048 30706 9.709912
3072 15 3072 46066 10.734001
8192 15 8192 122866 15.521747
16384 15 16384 245746 13.859870
32768 15 32768 491506 20.778085
256 71 256 18106 8.192383
768 71 768 54458 9.173243
2048 71 2048 145338 11.858203
3072 71 3072 218042 15.028206
8192 71 8192 581562 17.557147
16384 71 16384 1163194 21.239023
32768 71 32768 2326458 26.166008
