L D R N CK
256 10 256 2551 5.899414
768 10 768 7671 6.653450
2048 10 2048 20471 7.786817
3072 10 3072 30711 8.141585
8192 10 8192 81911 9.745154
16384 10 16384 163831 12.556403
32768 10 32768 327671 18.638318
256 30 256 7651 6.809961
768 30 768 23011 7.331184
2048 30 2048 61411 10.327148
3072 30 3072 92131 11.417171
8192 30 8192 245731 12.460235
16384 30 16384 491491 16.841476
32768 30 32768 983011 31.864543
256 50 256 12751 6.590039
768 50 768 38351 8.752930
2048 50 2048 102351 10.850732
3072 50 3072 153551 11.563688
8192 50 8192 409551 15.563068
16384 50 16384 819151 16.653101
32768 50 32768 1638351 19.731711
256 70 256 17851 6.127930
768 70 768 53691 7.393490
2048 70 2048 143291 9.844556
3072 70 3072 214971 14.042139
8192 70 8192 573371 15.620148
16384 70 16384 1146811 17.754703
32768 70 32768 2293691 16.256505
256 90 256 22951 6.097851
768 90 768 69031 8.195833
2048 90 2048 184231 9.494653
3072 90 3072 276391 15.403857
8192 90 8192 737191 14.661908
16384 90 16384 1474471 16.936365
32768 90 32768 2949031 17.837366
