L D R N CK
256 1 2041 2041 6.993116
768 1 6137 6137 7.101524
2048 1 16377 16377 7.069942
3072 1 24569 24569 7.367432
8192 1 65529 65529 9.780465
16384 1 131065 131065 10.175400
32768 1 262137 262137 12.801496
256 6 341 2041 6.865982
768 6 1024 6139 7.035059
2048 6 2731 16381 7.775686
3072 6 4096 24571 8.607324
8192 6 10923 65533 10.201304
16384 6 21845 131065 11.336558
32768 6 43691 262141 13.985764
256 8 256 2041 6.669336
768 8 768 6137 7.925911
2048 8 2048 16377 7.947216
3072 8 3072 24569 8.148910
8192 8 8192 65529 9.627179
16384 8 16384 131065 12.457852
32768 8 32768 262137 13.039237
256 15 256 3826 7.196875
768 15 768 11506 6.779427
2048 15 2048 30706 9.359595
3072 15 3072 46066 9.065772
8192 15 8192 122866 12.089948
16384 15 16384 245746 14.053634
32768 15 32768 491506 21.506572
256 71 256 18106 7.344922
768 71 768 54458 8.085156
2048 71 2048 145338 9.847364
3072 71 3072 218042 14.198177
8192 71 8192 581562 15.712293
16384 71 16384 1163194 24.466787
32768 71 32768 2326458 17.467410
