L D R N CK
256 10 256 2551 5.970313
768 10 768 7671 7.066472
2048 10 2048 20471 7.616236
3072 10 3072 30711 9.150976
8192 10 8192 81911 9.936267
16384 10 16384 163831 12.353027
32768 10 32768 327671 18.678302
256 30 256 7651 6.832226
768 30 768 23011 7.421875
2048 30 2048 61411 9.569604
3072 30 3072 92131 10.131868
8192 30 8192 245731 11.638757
16384 30 16384 491491 15.939209
32768 30 32768 983011 34.891477
256 50 256 12751 6.961524
768 50 768 38351 9.234765
2048 50 2048 102351 10.790137
3072 50 3072 153551 13.519580
8192 50 8192 409551 15.016742
16384 50 16384 819151 15.273989
32768 50 32768 1638351 18.259011
256 70 256 17851 6.344336
768 70 768 53691 8.424935
2048 70 2048 143291 9.642383
3072 70 3072 214971 17.962093
8192 70 8192 573371 19.637366
16384 70 16384 1146811 17.242590
32768 70 32768 2293691 17.894807
256 90 256 22951 6.705469
768 90 768 69031 7.443945
2048 90 2048 184231 10.917236
3072 90 3072 276391 13.816276
8192 90 8192 737191 14.657794
16384 90 16384 1474471 15.556919
32768 90 32768 2949031 18.090940
