L D R N CK
256 1 2041 2041 5.699755
768 1 6137 6137 6.536361
2048 1 16377 16377 6.889546
3072 1 24569 24569 7.177060
8192 1 65529 65529 10.069579
16384 1 131065 131065 10.537145
32768 1 262137 262137 12.426224
256 6 341 2041 6.179179
768 6 1024 6139 6.499609
2048 6 2731 16381 7.049524
3072 6 4096 24571 7.987085
8192 6 10923 65533 9.813654
16384 6 21845 131065 10.536658
32768 6 43691 262141 16.571642
256 8 256 2041 6.701172
768 8 768 6137 6.817253
2048 8 2048 16377 7.690015
3072 8 3072 24569 8.152832
8192 8 8192 65529 11.331671
16384 8 16384 131065 11.972952
32768 8 32768 262137 13.333424
256 15 256 3826 6.809765
768 15 768 11506 6.887956
2048 15 2048 30706 8.385620
3072 15 3072 46066 9.778646
8192 15 8192 122866 11.043378
16384 15 16384 245746 11.939569
32768 15 32768 491506 17.331944
256 71 256 18106 6.719140
768 71 768 54458 7.450325
2048 71 2048 145338 9.841430
3072 71 3072 218042 11.694564
8192 71 8192 581562 13.681073
16384 71 16384 1163194 17.245126
32768 71 32768 2326458 17.705613
