L D R N CK
256 10 256 2551 5.813477
768 10 768 7671 6.584766
2048 10 2048 20471 7.928809
3072 10 3072 30711 8.806787
8192 10 8192 81911 9.633014
16384 10 16384 163831 12.111579
32768 10 32768 327671 16.876157
256 30 256 7651 6.700391
768 30 768 23011 7.090625
2048 30 2048 61411 9.914551
3072 30 3072 92131 10.459098
8192 30 8192 245731 12.733337
16384 30 16384 491491 16.315970
32768 30 32768 983011 29.384690
256 50 256 12751 6.955078
768 50 768 38351 9.712110
2048 50 2048 102351 11.591333
3072 50 3072 153551 13.382226
8192 50 8192 409551 14.433191
16384 50 16384 819151 14.513678
32768 50 32768 1638351 17.215879
256 70 256 17851 6.148047
768 70 768 53691 7.808789
2048 70 2048 143291 9.427905
3072 70 3072 214971 12.111442
8192 70 8192 573371 14.266291
16384 70 16384 1146811 17.191876
32768 70 32768 2293691 15.475967
256 90 256 22951 5.991601
768 90 768 69031 8.606836
2048 90 2048 184231 9.878687
3072 90 3072 276391 12.186670
8192 90 8192 737191 15.127313
16384 90 16384 1474471 15.526480
32768 90 32768 2949031 16.784819
