L D R N CK
256 14 256 3571 8.087891
768 14 768 10739 8.446680
2048 14 2048 28659 9.866015
3072 14 3072 42995 11.169890
8192 14 8192 114675 13.744513
16384 14 16384 229363 15.268323
32768 14 32768 458739 19.465365
256 15 256 3826 8.117969
768 15 768 11506 8.453710
2048 15 2048 30706 9.841773
3072 15 3072 46066 10.737875
8192 15 8192 122866 14.723010
16384 15 16384 245746 15.444788
32768 15 32768 491506 21.169924
256 16 256 4081 8.296289
768 16 768 12273 8.225261
2048 16 2048 32753 10.278467
3072 16 3072 49137 11.110352
8192 16 8192 131057 13.058587
16384 16 16384 262129 17.285950
32768 16 32768 524273 34.678242
256 17 256 4336 8.135156
768 17 768 13040 8.221550
2048 17 2048 34800 9.944507
3072 17 3072 52208 11.000000
8192 17 8192 139248 12.907013
16384 17 16384 278512 17.507160
32768 17 32768 557040 21.354694
256 18 256 4591 8.106445
768 18 768 13807 8.374870
2048 18 2048 36847 10.230811
3072 18 3072 55279 11.316129
8192 18 8192 147439 12.724737
16384 18 16384 294895 17.016593
32768 18 32768 589807 21.127962
